matchPeriod,minute,eventName,TeamName
1H,33.781051000000005,Yellow_Card,Levante
1H,36.60445428333333,Yellow_Card,Villarreal
2H,62.08579193333333,Yellow_Card,Villarreal
2H,86.6270428,Yellow_Card,Villarreal
2H,87.86364291666666,Goal,Levante
2H,87.90444265,Goal,Villarreal
1H,21.67638038333333,Goal,Celta de Vigo
1H,21.725120083333334,Goal,Real Sociedad
1H,32.23593171666666,Goal,Real Sociedad
1H,32.28746996666666,Goal,Celta de Vigo
2H,47.85480435,Yellow_Card,Celta de Vigo
2H,49.82331455,Goal,Celta de Vigo
2H,49.86759656666666,Goal,Real Sociedad
2H,79.73199396666666,Goal,Real Sociedad
2H,79.76752695,Goal,Celta de Vigo
2H,81.03690428333333,Yellow_Card,Celta de Vigo
2H,85.06552666666667,Yellow_Card,Celta de Vigo
2H,87.17830153333333,Goal,Real Sociedad
2H,87.20245058333333,Goal,Celta de Vigo
2H,90.93258145,Yellow_Card,Real Sociedad
1H,17.5975643,Yellow_Card,Getafe
1H,40.056506649999996,Yellow_Card,Getafe
2H,58.513559099999995,Yellow_Card,Getafe
2H,62.804183949999995,Yellow_Card,Getafe
2H,67.72297544999999,Yellow_Card,Athletic Club
1H,21.84657005,Goal,Girona
1H,21.878939183333333,Goal,Atl\u00e9tico Madrid
1H,24.600226516666666,Goal,Girona
1H,24.6448755,Goal,Atl\u00e9tico Madrid
1H,27.110204966666668,Yellow_Card,Atl\u00e9tico Madrid
1H,45.90691733333333,Yellow_Card,Girona
2H,49.14594566666666,Yellow_Card,Atl\u00e9tico Madrid
2H,60.37330936666666,Yellow_Card,Atl\u00e9tico Madrid
2H,65.61078868333334,Yellow_Card,Atl\u00e9tico Madrid
2H,77.53501685,Goal,Atl\u00e9tico Madrid
2H,77.57294473333333,Goal,Girona
2H,84.1491489,Goal,Atl\u00e9tico Madrid
2H,84.16603416666666,Goal,Girona
2H,93.04434235,Yellow_Card,Girona
1H,15.237044933333333,Yellow_Card,Espanyol
1H,25.710286133333334,Goal,Sevilla
1H,25.72900455,Goal,Espanyol
1H,34.819095983333334,Goal,Espanyol
1H,34.85480548333333,Goal,Sevilla
2H,54.0190105,Yellow_Card,Espanyol
2H,75.22678906666667,Yellow_Card,Espanyol
2H,83.08422765,Yellow_Card,Sevilla
2H,83.09771975000001,Red_Card,Sevilla
2H,89.33368253333333,Yellow_Card,Sevilla
2H,90.28604005,Yellow_Card,Espanyol
1H,2.5740600000000002,Yellow_Card,Eibar
1H,30.71283695,Yellow_Card,Eibar
1H,44.44237158333333,Yellow_Card,M\u00e1laga
2H,56.859284466666665,Goal,Eibar
2H,56.88775175,Goal,M\u00e1laga
2H,82.36674411666667,Yellow_Card,Eibar
2H,89.19560583333333,Yellow_Card,M\u00e1laga
1H,35.7199407,Goal,Real Betis
1H,38.04959415,Goal,Barcelona
1H,38.06509213333333,Goal,Real Betis
2H,50.9670756,Yellow_Card,Barcelona
2H,62.05346871666667,Yellow_Card,Real Betis
2H,91.04031178333332,Yellow_Card,Barcelona
1H,19.74451601666667,Goal,Real Madrid
1H,19.796420066666666,Goal,Deportivo La Coru\u00f1a
1H,23.610656133333336,Yellow_Card,Deportivo La Coru\u00f1a
1H,26.030263716666663,Goal,Real Madrid
1H,26.087114966666665,Goal,Deportivo La Coru\u00f1a
2H,52.45027385,Yellow_Card,Deportivo La Coru\u00f1a
2H,52.542267,Yellow_Card,Real Madrid
2H,56.121221766666665,Yellow_Card,Real Madrid
2H,59.9177468,Yellow_Card,Deportivo La Coru\u00f1a
2H,61.31141266666667,Goal,Real Madrid
2H,61.348074466666674,Goal,Deportivo La Coru\u00f1a
2H,83.28013553333334,Yellow_Card,Deportivo La Coru\u00f1a
2H,86.78221921666668,Yellow_Card,Deportivo La Coru\u00f1a
1H,8.75897185,Yellow_Card,Valencia
1H,21.4376065,Goal,Valencia
1H,21.4791469,Goal,Las Palmas
1H,32.98807891666667,Red_Card,Las Palmas
1H,39.51508776666667,Yellow_Card,Valencia
